CODIGO;DESCRICAO
02110;LOJA DE MATERIAL HIDRAULICO
02111;LOJA DE FERRAMENTAS (CONSTRUCAO)
02112;LOJA DE PISOS (PEDRA,CERAMICA,ETC.)
02113;CASA DE FERRAGENS
02114;CASA DOS PARAFUSOS
02115;LOJA DE ESQUADRIA DE ALUMINIO
02116;CASA DE ARTIGOS PARA JARDINAGEM
02201;LOJA DE ALIMENTOS CONGELADOS
02202;LOJA DE PAO DE QUEIJO CONGELADO
02203;LOJA DE COMIDAS CONGELADAS
02301;PEIXARIA
02302;BALANCA DO PEIXE
02303;MERCADO DE PEIXES
02304;FEIRA DO PEIXE
02401;ASSOCIACAO DE CLASSE
02402;ASSOCIACAO DE MORADORES
02403;ASSOCIACAO TECNICA
02404;ASSOCIACAO COMUNITARIA
02405;COOPERATIVA DE CLASSE (EXCETO DE PRODUTORES RURAIS)
02406;HORTA COMUNITARIA (ASSOCIACAO DE MORADORES)
02407;AGREMIACAO CARNAVALESCA
02408;ASSOCIACAO GREMISTA CARNAVALESCA
02409;SINDICATO DE CLASSE
02410;SOCIEDADE DE CLASSE
02501;LOJA DE FRUTAS, FRUTARIA, ETC.
02502;FRUTARIA
02503;BARRACA DE FRUTAS EM SHOPPING CENTER
02504;BARRACA DE FRUTAS E CEREAIS EM SHOPPING CENTER
02505;LOJA DE FRUTAS
02506;FRUTEIRA (FRUTARIA)
02507;BANCA DE FRUTAS
02508;FEIRA DE FRUTAS
02601;CENTRAL DE ABASTECIMENTO
02602;MERCADO ESTADUAL
02603;MERCADO MUNICIPAL
02604;MERCADO COBAL
02605;COBAL
02606;CEASA
02607;MERCADO POPULAR PUBLICO
02608;MERCADO PUBLICO POPULAR
02701;SORVETERIA
02801;LOJA DE PRODUTOS NATURAIS E MACROBIOTICOS
02802;CASA DO APICULTOR
02803;LOJA DE PRODUTOS MACROBIOTICOS
02901;PAPELARIA E COPIADORA
02902;PAPELARIA
02903;REVENDEDORA DE GIZ
02904;COPIADORA (XEROX)
02905;LOJA DE XEROX
02906;XEROX (LOJA)
02907;XEROCARIA
03001;LIVRARIA E COMERCIO GRAFICO
03002;LIVRARIA
03003;EDITORA (LIVRARIA)
03004;GRAFICA
03005;TIPOGRAFIA
03006;LOJA DE LIVROS USADOS, SEBO, ETC.
03007;EDITORA DE JORNAL
03101;ARMARINHO
03102;LOJINHA
03103;LOJA DE AVIAMENTOS
03104;LOJA DE MIUDEZAS (ARMARINHO)
03201;BANCA DE JORNAIS
03202;QUIOSQUE (BANCA DE JORNAL)
03203;REVISTARIA
03301;COSTUREIRA, ALFAIATE
03302;COSTUREIRA DE ROUPA
03303;COSTUREIRA DE CORTINA
03304;CORTINA SOB MEDIDA (COSTUREIRA)
03305;CORTINEIRA (COSTUREIRA DE CORTINA)
03306;ALFAIATE
03307;ALFAIATARIA
03401;FEIRA DE EXPOSICAO, FESTA JUNINA, LEILAO, ETC.
03402;FESTA JUNINA
03403;FEIRA GASTRONOMICA
03404;FEIRA DE GASTRONOMIA
03405;LEILAO
03406;PARQUE DE EXPOSICAO
03407;FEIRA DE INFORMATICA
03408;FEIRA DE ARTESANATO
03409;FEIRA DA SULANCA
03410;FEIRA DE PRODUTOS AGROPECUARIOS
03411;FEIRA DOS IMPORTADOS
03412;FEIRA DE MAQUINAS AGROPECUARIAS
03413;REMATE DE GADO
03414;FEIRA LIVRE DE PEQUENOS ANIMAIS
03415;FEIRA LIVRE DE ARTEFATOS DE MONTARIA, SELARIA
03416;FEIRA DO AGRICULTOR
03417;FEIRA DE PRODUTOS COLONIAIS
03418;FEIRA DO LIVRO (BIENAL)
03419;FEIRINHA
03420;FEIRA DE ELETRONICOS
03501;JOALHERIA
03502;LOJA DE PEDRAS PRECIOSAS OU SEMIPRECIOSAS
03503;LOJA DE LAPIDACAO DE JOIAS OU SEMI-JOIAS
03504;LOJA DE BIJUTERIAS
03601;LOJA DE ARTIGOS DE DECORACAO
03602;LOJA DE CRISTAIS E PORCELANAS
03603;LOJA DE LUSTRES E LUMINARIAS
03604;LOJA DE CORTINAS
03605;LOJA DE LOUCAS
03606;BUTIQUE DE LOUCAS
03607;ANTIQUARIO
03608;LOJA DE ANTIGUIDADES
03609;LOJA DE CAPA DE SOFA
03610;LOJA DE TOLDOS
03701;IMOBILIARIA
03801;LOJA DE BRINQUEDOS E DIVERSOES
03802;FLIPERAMA
03803;CASA DE JOGOS
03901;SUS (DOACAO EM POSTO DE SAUDE,HOSPITAL)
03902;SISTEMA UNICO DE SAUDE (DOACAO EM POSTO DE SAUDE, HOSPITAL)
03903;POSTO DE SAUDE PUBLICO
03904;INSTITUTO DE PREVIDENCIA PUBLICA
03905;HOSPITAL PUBLICO
04001;LOJA DE ELETRODOMESTICOS E UTILIDADES
04002;LOJA DE UTILIDADES (CINE FOTO SOM)
04003;CINE FOTO SOM (LOJA DE UTILIDADES)
04004;LOJA DE ELETRODOMESTICOS E MOVEIS (BRICK)
04005;BRICK (LOJA DE ELETRODOMESTICOS E MOVEIS)
04006;LOJA DE ELETRODOMESTICOS E MOVEIS USADOS
04007;BREXO (LOJA DE ELETRODOMESTICOS E MOVEIS)
04008;TOPA TUDO
04009;MERCADO DAS PULGAS
04010;LOJA DE ELETRODOMESTICOS E MOVEIS
04011;LOJA DE UTILIDADES
04012;LOJA DE VARIEDADES
04013;LOJA DE ELETRODOMESTICOS
04101;LOJA DE PECAS, ACESSORIOS, EQUIPAMENTOS DE VEICULOS
04102;LOJA DE EQUIPAMENTOS DE VEICULOS
04103;CASA DE AUTOPECAS
04104;LOJA DE AUTOPECAS
04105;LOJA DE CAPOTARIA DE VEICULOS
04106;LOJA DE PNEUS
04107;BORRACHARIA (LOJA E CONSERTO DE PNEUS)
04108;LOJA DE PNEUS E CAMARAS
04109;LOJA DE ACESSORIOS DE VEICULOS
04110;LOJA DE SOM (ACESSORIOS DE VEICULOS)
04111;AUTOPECAS
04112;CASA DE BORRACHAS PARA AUTOS
04113;FERRO-VELHO
04114;VULCANIZADORA
04115;AUTO-ELETRICA
04116;LOJA DE OLEO LUBRIFICANTE
04201;HOSPITAL PARTICULAR
04301;FUNERARIA
04401;LOJA DE MOVEIS
04402;LOJA DE MOVEIS PARA BEBES
04403;MOBILIADORA
04404;LOJA DE MOVEIS PLANEJADOS
04501;LOJA DE ROUPAS
04502;LOJA DE MEIAS
04503;LOJA DE CAMISAS
04504;LOJA DE CALCAS
04505;LOJA DE LANGERIE
04506;LOJA DE MALHAS
04507;BUTIQUE DE ROUPAS
04508;LOJA DE ROUPAS DE ENXOVAL
04509;LOJA DE ALUGUEL DE ROUPAS
04510;BREXO (LOJA DE ROUPAS USADAS)
04511;CAMISARIA
04512;LOJA DE UNIFORMES ESCOLAR E PROFISSIONAL
04513;MALHARIA
04514;LOJA DE ARTIGOS DE PRAIA
04515;LOJA DE CONFECCAO (FABRICA)
04516;LOJA DE ROUPA INTIMA
04601;FARMACIA POPULAR (ESTABELECIMENTO PROPRIO)
04701;FARMACIA (CONVENIO FARMACIA POPULAR)
04702;DROGARIA (CONVENIO FARMACIA POPULAR)
04801;SHOPPING CENTER
04901;RESTAURANTE
04902;CHURRASCARIA
04903;PIZZARIA
04904;PENSAO
04905;CASA DE MASSAS
04906;BAR E RESTAURANTE
04907;RESTAURENTE E BAR
04908;MARMITARIA (SERVE REFEICOES)
04909;CASA DE COMIDAS TIPICAS
04910;RESTAURANTE DE COMIDAS TIPICAS
04911;ROTISSERIA
04912;MARMITEX
04913;BUFFET
04914;PEIXARIA (RESTAURANTE)
04915;SELF SERVICE
04916;CASA DE ASSADOS
04917;DELIVERY DE COMIDA CHINESA
05001;NEGOCIO PROPRIO
05101;COMPANHIA DE HABITACAO
05102;COMPANHIA TELEFONICA
05103;COMPANHIA ENERGETICA
05104;COMPANHIA DE AGUA E ESGOTO
05105;POSTO TELEFONICO
05201;CARTORIO
05301;EMPRESA DE TRANSPORTE
05302;TRANSPORTADORA
05401;ASSISTENCIA AUTORIZADA
05402;ASSISTENCIA TECNICA
05501;LOJA DE1,99 (IMPORTADO)
05601;POSTO DE COMBUSTIVEL (LOJA DE CONVENIENCIA)
05602;LOJA DE CONVENIENCIA
05603;POSTO DE COMBUSTIVEL
05604;POSTO DE GASOLINA
05701;LOJA DE FOTOGRAFIA
05702;ESTUDIO DE GRAVACAO DE FITA DE VIDEO
05703;FOTOGRAFO (LOJA DE REVELACAO)
05704;LOJA DE EQUIPAMENTOS FOTOGRAFICOS
05705;ESTUDIO FOTOGRAFICO
05801;CONDOMINIO (SINDICO)
05901;FABRICANTE
05902;FABRICA
05903;LOJA DE FABRICA
05904;MARCENARIA
05905;SERRALHERIA
05906;CERAMICA
05907;SERRARIA
05908;MADEIREIRA
05909;MOINHO
05910;INDUSTRIA DE BENEFICIAMENTO
05911;METALURGICA
05912;OLARIA
05913;POSTO DE FABRICA
05914;MARMORARIA
05915;MOVELARIA
05916;PICARREIRA
05917;CARPINTARIA
05918;FABRICA DE GELO
05919;USINA DE BENEFICIAMENTO
05920;VINICULA
05921;PEDREIRA
06001;LOJA DE ARTIGOS DE COURO E BORRACHA (EXC.CALCADO)
06002;LOJA DE MALAS, BOLSAS, CINTOS
06003;LOJA DE BOLSAS
06004;LOJA DE CINTOS
06005;LOJA DE ARTIGOS DE BORRACHA
06006;LOJA DE CARTEIRAS (DE BOLSO,DE MAO)
06007;CHAPELARIA
06008;LOJA DE CHAPEUS
06101;OFICINA DE VEICULOS
06102;CASA DE CONSERTO DE VEICULOS
06103;OFICINA DE BICICLETA
06104;OFICINA ELETRICA DE VEICULOS
06105;OFICINA DE LANTERNAGEM
06106;FUNILARIA
06107;FUNILEIRO
06108;OFICINA MECANICA
06109;OFICINA DE BALANCEAMENTO
06110;LANTERNEIRO
06111;CHAPEADOR, PINTOR (LANTERNEIRO)
06112;ESTOFADOR (VEICULO)
06113;CAPOTEIRO (CONSERTO DE VEICULO)
06114;ESTOFARIA (CONSERTO DE VEICULO)
06115;MARTELINHO DE OURO (REPARO DE VEICULO)
06116;LATOARIA
06117;BICICLETARIA
06118;FERRARIA
06119;RETIFICADORA
06201;ESTABELECIMENTO DE ENSINO
06202;ESCOLA
06203;COLEGIO
06204;ESTABELECIMENTO ESCOLAR
06205;ESCOLA DE IDIOMAS
06206;UNIVERSIDADE
06207;FACULDADE
06208;CURSINHO
06209;CURSINHO DE MATERIAS ISOLADAS
06210;CONSERVATORIO DE MUSICA
06211;INSTITUTO DE ENSINO SUPERIOR
06212;GRUPO ESCOLAR
06213;ESCOLA ISOLADA
06214;AUTO-ESCOLA
06215;CRECHE
06216;ESCOLA DE INFORMATICA
06217;ESCOLA DE DANCA
06218;ESCOLA DE ARTES MARCIAIS
06219;ESCOLA MATERNAL
06220;CURSO PRE-VESTIBULAR
06221;CURSO SUPLETIVO
06222;CURSO PROFISSIONALIZANTE
06223;SENAC, SENAI E OUTROS
06224;CURSO PROFISSIONALIZANTE (TIPO SEBRAE)
06225;ESCOLA AGROTECNICA
06226;ESCOLA DE MUSICA
06227;ESCOLA DE ESPORTES
06228;CURSOS PREPARATORIOS
06229;ESCOLA DE ARTES
06230;ESCOLA DE ARTESANATO
06301;AGENCIA DE CORREIO E TELEGRAFO
06401;CLINICA ESPECIALIZADA DE ESTETICA
06402;CLINICA DE ESTETICA
06403;CLINICA DE BELEZA
06404;SALAO DE BELEZA (CLINICA)
06405;ESTETICISTA
06501;CLINICA ESPECIALIZADA MEDICA E LABORATORIAL
06502;CONSULTORIO DENTARIO
06503;CONSULTORIO MEDICO
06504;CLINICA DE REABILITACAO
06505;CLINICA DE FISIOTERAPIA
06506;CLINICA DE PSICOLOGIA
06507;CLINICA MEDICA
06508;CLINICA DE FRATURAS
06509;CLINICA DE ODONTOLOGIA (ODONTOLOGICA)
06510;PROTETICO
06511;LABORATORIO DE ANALISE, RADIOLOGIA, ULTRA-SOM, ETC.
06512;CLINICA DE HEMODIALISE
06601;LOJA DE PECAS E REFORMA DE ELETRODOMESTICOS
06602;LOJA DE CONSERTO DE ELETRODOMESTICOS
06603;LOJA DE CONSERTO DE GELADEIRA E FREEZER
06604;LOJA DE REFORMA DE GELADEIRA E FREEZER
06605;OFICINA DE APARELHOS ELETRONICOS
06606;OFICINA DE ELETRODOMESTICOS
06701;ATACADISTA
06702;SUPERMERCADO ATACADISTA
06703;HIPERMERCADO ATACADISTA
06704;ARMAZEM ATACADISTA
06705;CEREALISTA ATACADISTA
06706;LOJA ATACADISTA
06801;CATALOGO (HERMES,AVON,NATURA,ETC.)
06802;AVON (CATALOGO)
06803;HERMES (CATALOGO)
06804;NATURA (CATALOGO)
06805;ATENDIMENTO PARTICULAR (CATALOGO HERMES,AVON,NATURA,ETC.)
06806;CATALOGO
06901;AVIARIO
06902;AVICOLA
06903;PONTO DE FRANGO (AVICOLA)
06904;FRANGARIA
06905;LOJA DA GRANJA
06906;CASA DE FRANGOS (ABATE)
07001;IMPORTADORA E FREE SHOP
07002;LOJA DE IMPORTADOS
07003;FREE SHOP (LOJA DE IMPORTADOS)
07101;LOJA DE INFORMATICA E EQUIPAMENTOS
07102;LOJA DE INFORMATICA
07103;LOJA DE COMPUTADORES E EQUIPAMENTOS
07104;LOJA DE CARTUCHO PARA IMPRESSORA (RECARGA)
07105;LOJA DE RECARGA DE CARTUCHO PARA IMPRESSORA
07201;LAVA A JATO
07202;LAVADOR DE VEICULO
07301;AGENCIA LOTERICA E APOSTAS
07302;AGENCIA LOTERICA
07303;LOTERIA ESPORTIVA (AGENCIA)
07304;CASA LOTERICA
07305;LOJA LOTERICA
07306;BINGO
07307;BANCA (JOGO DE BICHO)
07401;LOJA DE SOUVENIRS
07501;PARTICULAR (TERCEIRO)
07502;TERCEIRO (PARTICULAR)
07503;GRAVADOR DE CD (PARTICULAR)
07504;FILMADOR DE EVENTOS (PARTICULAR)
07505;VENDEDOR DE CABELOS (PARTICULAR)
07506;TECNICO EM COMPUTACAO (PARTICULAR)
07507;LAVADOR DE SOFA (PARTICULAR)
07508;PROPRIETARIO DE IMOVEL (LOCADOR)
07509;REVENDEDOR
07510;PARTICULAR
07511;PROFISSIONAL LIBERAL
07601;PRODUTOR AGROPECUARIO
07602;APIARIO
07603;GRANJA
07604;PRODUCAO PROPRIA
07605;PRODUTOR RURAL
07606;SITIANTE
07607;PESCADOR
07608;CRIACAO PROPRIA
07609;HORTA PROPRIA
07610;PLANTACAO PROPRIA
07611;PRODUTO RURAL
07612;QUINTAL
07613;ROCA PROPRIA
07614;ROCADO PROPRIO
07615;SITIO PROPRIO
07701;NATURAL
07702;NATUREZA
07703;FLORESTA
07704;IGARAPE
07705;LAGOA
07706;MAR
07707;MATA
07708;RIO
07709;ACUDE
07710;LAGO
07711;PRAIA
07801;LIXAO
07802;DEPOSITO DE LIXO
07901;ACADEMIA DE ARTES E ESPORTES
07902;ACADEMIA DE ARTES
07903;ACADEMIA DE ARTES MARCIAIS
07904;ACADEMIA DE BALE
07905;ACADEMIA DE BOXE
07906;ACADEMIA DE CAPOEIRA
07907;ACADEMIA DE DANCA
07908;ACADEMIA DE ESPORTES
07909;ACADEMIA DE GINASTICA
07910;ACADEMIA DE JUDO
07911;ACADEMIA DE KARATE
07912;ACADEMIA DE MUSCULACAO
07913;ACADEMIA DE NATACAO
07914;ACADEMIA DE TENIS
08001;ESCRITORIOS E ADMINISTRADORAS EM GERAL
08002;ADMINISTRADORA DE CEMITERIO
08003;ADMINISTRADORA DE PLANO DE SAUDE
08004;ADMINISTRADORA DE EVENTOS E FESTAS
08005;ADMINISTRADORA DE CONSORCIO
08006;ADMINISTRADORA DE PLANO ODONTOLOGICO
08007;ADMINISTRADORA DE PLANO FUNERAL
08008;ADMINISTRADORA DE SEGUROS
08009;ADMINISTRADORA DE CONDOMINIO
08010;ESCRITORIO
08011;BIRO JURIDICO
08012;ADMINISTRADORA DE IMOVEIS
08101;REFEITORIO EM GERAL
08201;BANCO
08202;AGENCIA BANCARIA
08301;ORGAOS PUBLICOS
08302;PREFEITURA MUNICIPAL
08303;GOVERNO DO ESTADO
08304;GOVERNO FEDERAL
08305;GOVERNO (NAO ESPECIFICADO)
08306;SECRETARIA DE SEGURANCA PUBLICA OU DELEGACIA
08307;SECRETARIA DE ACAO SOCIAL
08308;EMATER
08401;LABORATORIOS OFICIAIS
08402;FUNASA
08403;FUNDACAO OSWALDO CRUZ
08501;CARVOARIA
08601;CAMINHAO REBOQUE (GUINCHO)
08701;REPRESENTANTE DE VENDAS
08801;EMPRESA DE TERRAPLANAGEM E EXTRACAO MINERAL
08802;AREAL
08803;LOCAL DE EXTRACAO DE AREIA
08804;GARIMPO
08805;AREEIRA
08806;EMPRESA DE TERRAPLANAGEM
08901;CONSTRUTORA
09001;DROGARIA COM CONVENIO
09002;FARMACIA COM CONVENIO
09101;AGENTES DE COMUNICACAO
09102;ANUNCIO DE TV (MALA DIRETA)
09103;COMPUTADOR (VIA)
09104;TELEMARKETING
09105;INTERNET
09106;ANUNCIO DE JORNAL
09107;JORNAL (ANUNCIO)
09108;TELEMENSAGEM
09109;CARRO DE MENSAGEM
09110;ANUNCIO DE RADIO
09111;LINHA DIRETA (VENDA POR TELEFONE)
09112;LAN HOUSE (LOJA INTERNET)
09113;ENTREGA EM DOMICILIO (VENDA POR TELEFONE)
09201;RESTAURANTE POPULAR
09301;LANCHONETE POPULAR
09401;LOJA DE FRIOS
09402;FIAMBRERIA
09403;LOJA DE LATICINIOS
09404;LATICINIO
09405;QUEIJARIA
09406;VACARIA (LATICINIOS)
09407;CASA DE FRIOS
09408;DISTRIBUIDORA DE LEITE
09409;LEITERIA
09410;CASA DE QUEIJO
09501;ESTABELECIMENTO CULTURAL
09502;TEATRO
09503;BIBLIOTECA
09504;CINEMA
09505;MUSEU
09601;LOJA DE PROTUTOS HOSPITALARES
09602;LOJA DE OXIGENIO
09701;ESTABELECIMENTO DE EVENTOS E DIVERSAO
09702;DANCETERIA
09703;CASA DO FORRO
09704;BOATE
09705;CLUBE ESPORTIVO
09706;CASA DE SHOWS E ESPETACULOS
09707;ASSOCIACAO (RECREACAO, FUTEBOL, CLUBE E ETC.)
09801;LOJA DE CELULAR
09802;OFICINA DE CELULAR
09803;LOJA DE CONSERTO DE CELULAR
09804;BANCA (QUIOSQUE) DE ARTIGOS PARA CELULAR
09901;LOJA DE VEICULOS
09902;CONCESSIONARIA DE VEICULOS
09903;AGENCIA DE VEICULOS
10001;LOJA DE FLORES
10002;FLORICULTURA
10003;FLORISTA
10101;SAPATEIRO
10102;HOSPITAL DO TENIS
10201;LOJA DE ARTESANATOS
10202;LOJA DE PRODUTOS ARTESANAIS
10301;LOJA DE TECIDOS E TAPECARIA
10302;LOJA DE TECIDOS
10303;TAPECARIA
10401;LOJA DE COSMETICOS E PERFUMARIA
10402;LOJA DE COSMETICOS
10403;PERFUMARIA
10501;LOCADORA DE CD, VIDEO GAME, DVD E VIDEOKE
10502;LOCADORA DE FILMES (VIDEO)
10601;LOJA DE COLCHOES
10701;LOJA DE MAQUINA DE COSTURA
10801;LOJA DE ARTIGOS PARA PISCINA
10901;MOTEL
11001;LOJA DE APARELHOS TELEFONICOS
11101;LOJA DE QUADROS E MOLDURAS
11201;ESPECIALISTA EM LENTES DE CONTACTO
11301;LOJA DE DISCOS, CD E FITAS
11401;LOJA DE INSTRUMENTOS MUSICAIS
11501;LOJA DE MATERIAL ESPORTIVO
11601;LOJA DE ROUPA DE CAMA, MESA E BANHO
11701;OTICA
11801;RELOJOARIA E RELOJOEIRO
11901;EMPRESA DE SERVICO DE SEGURANCA
12001;SAPATARIA (LOJA DE CALCADOS)
12101;TABACARIA
12102;CASA DE FUMO
12201;LOJA DE ARTIGOS DE HIGIENE PESSOAL
12301;LOJA DE EMBALAGENS
12401;LOJA DE CONSERTO DE MOVEIS
12501;LOJA DE CESTAS DE CAFE DA MANHA
12601;LOJA DE ARTIGOS PARA FESTA
12701;LOCADORA DE VEICULOS
12801;SEX SHOP
12901;HOTEL
13001;LOJA DE REFORMA DE SOFAS
13101;LOJA DE BICICLETA
13201;LOJA DE ARTIGO INFANTIL E BEBE
13301;LOJA DE ARTIGOS DE PLASTICO
13401;LOJA DE PRESENTES
13501;ESTALEIRO
13601;LOJA DE REDE
13701;LOJA DE ANTENAS PARABOLICAS
13801;LOJA DE AQUARIOS
13901;LOJA DE BOMBA DE AGUA
14001;LOJA DE FOGOS DE ARTIFICIO
14101;LOCADORA DE ARTIGOS PARA FESTA
14201;EMPRESA PUBLICA
14301;EMPRESA PRIVADA
14401;LOJA DE ELETRONICOS
14501;DEPOSITO DE LENHA
14601;PESQUE E PAGUE
14701;GALETERIA
14702;FRANGUERIA (GALETERIA)
14801;LOJA DE PRODUTOS ORGANICOS
14901;LOJA DE 1 REAL (ALIMENTOS E BEBIDAS)
15001;CASA DE ARTIGOS DE CABELEIREIRO
15002;SALAO DE BELEZA
15003;CABELEIREIRO
15101;LOJA DE MATERIAL DE LIMPEZA
15102;LOJA DE PRODUTOS DE LIMPEZA
15103;LOJA DE PRODUTOS QUIMICOS PARA LIMPEZA
15201;LOJA DE CESTA BASICA
